FARE_ID, PRICE, CURRENCY_TYPE, PAYMENT_METHOD, TRANSFERS, TRANSFER_DURATION
EXT_CARTASCALARE ENTRO 4 KM,1.10,EUR,1,,21600
EXT_CARTASCALARE ENTRO 7 KM,1.30,EUR,1,,21600
EXT_CARTASCALARE ENTRO 11 KM,1.80,EUR,1,,21600
EXT_CARTASCALARE ENTRO 15 KM,2.20,EUR,1,,21600
EXT_CARTASCALARE ENTRO 20 KM,2.50,EUR,1,,21600
EXT_CARTASCALARE ENTRO 25 KM,2.90,EUR,1,,21600
EXT_CARTASCALARE ENTRO 30 KM,3.10,EUR,1,,21600
EXT_CARTASCALARE ENTRO 35 KM,3.30,EUR,1,,21600
EXT_CARTASCALARE ENTRO 40 KM,3.50,EUR,1,,21600
EXT_CARTASCALARE ENTRO 45 KM,3.70,EUR,1,,21600
EXT_CARTASCALARE ENTRO 50 KM,4.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 60 KM,4.40,EUR,1,,21600
EXT_CARTASCALARE ENTRO 70 KM,4.70,EUR,1,,21600
EXT_CARTASCALARE ENTRO 80 KM,5.10,EUR,1,,21600
EXT_CARTASCALARE ENTRO 90 KM,5.50,EUR,1,,21600
EXT_CARTASCALARE ENTRO 100 KM,5.80,EUR,1,,21600
EXT_CARTASCALARE ENTRO 110 KM,6.10,EUR,1,,21600
EXT_CARTASCALARE ENTRO 120 KM,6.40,EUR,1,,21600
EXT_CARTASCALARE ENTRO 130 KM,6.70,EUR,1,,21600
EXT_CARTASCALARE ENTRO 140 KM,7.00,EUR,1,,21600
EXT_CARTASCALARE ENTRO 150 KM,7.30,EUR,1,,21600
EXT_CARTASCALARE ENTRO 160 KM,7.60,EUR,1,,21600
EXT_CARTASCALARE ENTRO 170 KM,7.90,EUR,1,,21600
EXT_CARTASCALARE ENTRO 180 KM,8.20,EUR,1,,21600
EXT_CARTASCALARE ENTRO 190 KM,8.50,EUR,1,,21600
EXT_CARTASCALARE ENTRO 200 KM,8.80,EUR,1,,21600
EXT_CARTASCALARE ENTRO 210 KM,9.10,EUR,1,,21600
EXT_CARTASCALARE ENTRO 220 KM,9.40,EUR,1,,21600
